［受付年月日］,［契約当事者年齢］,［契約当事者性別等］,［契約当事者地域］,［超大分類］,［商品・役務名］,［件名］,［相談概要］,［契約・申込の有無］,［契約購入年月日］,［販売購入形態］,［決済・販売方法］,［信用供与の有無］,［信用供与の有無詳細］,［支払手段］,［契約購入金額］,［内容別分類］,［内容等ＫＷ］,［処理結果概要］,［救済金額］,［救済金額の内容］
2024年3月1日,56歳,1.男,201.奈良市,2.役務,芸能オーディション,障害のある５０代の知人が、レコード会社のオーディションを受け合格し無料レッスンを受ける事になったが、信用できるだろうか。,障害のある５０代の知人が、歌うことが好きなので、芸能会社のオーディションを受けた。すると、半年後にデビューできるし、それまで無料レッスンを受講できると言われる立場に合格した。そして、近々無料レッスンを受けることになったが、こんな話が信用できるだろうか。,1.既に契約・申込した,,2.通信販売,,4.不明・無関係,,,,07.販売方法　09.接客対応,ｼﾝﾖｳｾｲ　ﾑﾘﾖｳｼﾖｳﾎｳ　ﾄｳｾﾝｼﾖｳﾎｳ　ｼﾝｼﾖｳｼﾔｶﾝﾚﾝ,まずは、契約者本人から連絡してもらうよう伝えた。その後、連絡なく相談業務終了とする。,,
2024年3月1日,50歳,1.男,201.奈良市,1.商品,自動車,法定検査で不正をし、業務停止命令を受けた自動車会社の自動車に乗っているが、ユーザーに向けた補償などの話がなく、不納得。,法定検査で不正をし、業務停止命令を受けた自動車会社の自動車に乗っているが、ユーザーに向けた補償などの説明がない。一応、今乗っている車は、再検査後、問題ないと言うことになり再生産されることになったが、その間、乗車することも不安だったし、中古車としても安く値踏みされると思う。そうしたことに対する、慰謝料や補償をしてほしいが、何らそうした説明がない。,1.既に契約・申込した,2021,0.店舗購入,,4.不明・無関係,,,,02.品質・機能、役務品質　03.法規・基準　08.契約・解約　09.接客対応,ｷﾉｳ･ｾｲﾉｳ　ﾎｳﾘﾂｲﾊﾝ　ｷﾞﾖｳｾｲｼﾖﾌﾞﾝ　ｷｶｸ　ﾎｼﾖｳ　ｸﾚｰﾑｼﾖﾘ　ｾﾂﾒｲﾌﾞｿｸ,センターから担当省庁である国土交通省に確認したところ、「再検査を実施し安全走行上問題ない車種については、製造、販売を許可している」とのことだった。さらに、センターでの法律相談の弁護士に確認したところ、「今回の件で、業者には行政法上の責任は問われても、民事上ではなかなか補償までの要求は難しいのではないか」とのことで、その旨、相談者に説明し、納得してもらった。,,
2024年3月1日,26歳,2.女,201.奈良市,2.役務,ワンルームマンション,６年前入居した家賃４万円のワンルームマンションを退去した。管理会社から高額修理代を請求され不満だ。支払い義務はあるか。,６年前入居した家賃４万円のワンルームマンションを退去した。管理会社から、フローリングの傷の補修代１万円と割れた網入りガラスの修理代５万円の合計６万円を請求された。敷金は０円だった。フローリングの傷は家具の移動でつけてしまった。網入りガラスは数年前から割れていたかもしれないが、カーテンで隠れていて気付かなかった。しかし、物や家具をぶつけるといった過失による破損ではなく、熱割れで自然に割れてしまったと思う。管理会社に、経年劣化の修理は免除されるべきだと伝えたが、「入居者の火災保険で補償できない時は支払ってもらう」と言われた。火災保険は解約し補償してもらえない。また契約書には、入居者の火災保険で補償するという記載は見当たらない。管理会社の請求通り修理代を支払わなくてはならないか。,1.既に契約・申込した,2017年8月1日,0.店舗購入,,1.無,101.即時払,,"60,000円",02.品質・機能、役務品質　08.契約・解約,ｶｲﾔｸ@　ｼﾕｳﾘﾀﾞｲ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ﾌﾄｳｾｲｷﾕｳ@　ﾎｼﾖｳｷﾝﾄｳ　ｾﾂﾒｲﾌﾞｿｸ　ｻｹ･ｷﾚﾂ　ｷｽﾞ　ｹｲｼﾞﾍﾝｶ,国交省のガイドラインでは、「入居者が物や家具をぶつけるといった過失による破損であれば、借主が修繕費用を負担しなければならないが、熱割れや錆割れなど経年劣化で自然に割れたものは、貸主が修理代を負担しなければならない」とされている。契約書に特約がなければ、ガイドラインの考え方では、経年劣化のによる修理代の支払いは拒否できるのではないかと助言した。,,
2024年3月1日,34歳,1.男,201.奈良市,2.役務,食事宅配,食事宅配アプリで麺の宅配を注文。２０分後に店からキャンセルされ、苦情を電話したら忙しいと電話を切られた。対応が悪い。,食事宅配アプリでラー麺を注文した。２０分後に準備ができないという理由で一方的にキャンセルされた。楽しみに待っていたので納得できず、苦情を電話したら、忙しいと電話を切られた。対応が悪く不満だ。業者を指導してほしい。,1.既に契約・申込した,2024年3月1日,2.通信販売,,4.不明・無関係,,,"2,000円",08.契約・解約　09.接客対応,ｹｲﾔｸｷﾖﾋ　ｸﾚｰﾑｼﾖﾘ,当センターは事業者を指導する立場にないことを説明した。苦情を記録することで了承を得た。,,
2024年3月1日,79歳,2.女,201.奈良市,2.役務,フリーローン,１２年前カードキャッシングをして知人に１５０万円を貸した。長年返済を続けているが、高齢になり返済困難になってきた。,１２年前、自分名義でカードキャッシングして知人に１５０万円を貸した。知人が返済してくれず、長年キャッシングの返済を続けている。高齢になりキャッシングの返済が困難になってきた。,1.既に契約・申込した,2012,0.店舗購入,,3.借金契約,,,"1,500,000円",08.契約・解約,ｸﾚｼﾞﾂﾄｶｰﾄﾞ　ｷﾝﾘ･ﾘｿｸ　ﾀｼﾞﾕｳｻｲﾑ,多重債務の無料法律相談を案内した。,,
2024年3月1日,82歳,2.女,201.奈良市,1.商品,カラーリング剤,昨年ネット広告のカラーリング剤をお試し価格で注文した。定期購入を解約できず高額商品を受取っているが、効果なく解約したい。,昨年夏頃、ネット広告をみて自然に髪が染まるカラーリング剤を初回１９８０円で注文した。代金はコンビニ後払いにした。一回限りと思っていたのに２回目が届いたので、２回目を受け取り拒否したが、販売業者が商品の受け取りを拒否した。配送業者に迷惑をかけることになるので商品を受け取った。２回目の商品代は１６０００円と高額だった。業者から「３か月ごと５回の定期購入に申し込んでいるので、５回分を受取るまでは解約できない」と説明された。仕方なく３回目まで受け取り商品代を支払った。しかし、高額にもかかわらず、カラーリング剤は全く効果がない。年金生活で余裕もないのにカラーリング効果のない商品を購入したくない。４回目以降のカラーリング剤を解約したい。,1.既に契約・申込した,2023年10月21日,2.通信販売,後払いドットコム,2.販売信用,205.２か月内払い,,"65,980円",02.品質・機能、役務品質　06.表示・広告　08.契約・解約,ﾃﾞﾝｼｺｳｺｸ　ｺﾞｶｲ･ｶﾝﾁｶﾞｲ　ﾃｲｷｺｳﾆﾕｳ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ｶｲﾔｸ@　ｱﾄﾊﾞﾗｲｹﾂｻｲ　ｺｳﾉｳ･ｺｳｶ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ,センターから業者に連絡した。ネット広告から定期縛りのないコースを注文した後に、定期購入を勧められたために、相談者は定期購入であると認識できなかったと伝えたところ、本来５回コースのところ、３回目までで解約できることになった。その旨、相談者へ伝え終了した。,"32,000円",01.回復額
2024年2月29日,66歳,2.女,201.奈良市,2.役務,ウイルス対策ソフト,昨夜ＰＣ閲覧中警告音と共に「ウイルスに感染した」という表示が出た。連絡すると片言の担当者が対応しソフト購入を求められた。,昨夜ＰＣ閲覧中に、警告音と共に「ウイルスに感染した」という表示が出た。問い合わせ先に電話連絡すると、片言の担当者が対応し、セキュリティソフトを購入するよう言われた。不審であったので電話を切り、ＰＣは強制終了した。詐欺の可能性はあるのか。,2.まだ契約・申込していない,,2.通信販売,,4.不明・無関係,,,,07.販売方法　08.契約・解約,ﾆｾｹｲｺｸ　ｻｷﾞ,偽警告の同種相談事例を紹介し、相手と連絡を絶ち様子をみるよう助言した。ＰＣの表示や警告音のトラブルが続く場合はプロバイダや、ＰＣメーカーに問い合わせるよう伝えた。,,
2024年2月29日,61歳,1.男,201.奈良市,2.役務,副業サイト,ＳＮＳ広告を見て副業契約をした。遠隔操作で消費者金融３社と借金契約をしたようだがその後解約申請した。詐欺だろうか。,ＳＮＳ広告を見て、副業契約を申し込んだ。業者から電話があり、１９８０円のマニュアル本を購入し、コンビニ後払い決済で支払った。その後、報酬を振り込むための口座開設を指示され開設した。また、業者にスマホの遠隔操作を受けて、消費者金融３社と総額１１０万円の借金契約をし、業者指定口座に振り込んだ。高額の借金契約をしたことを後悔し、解約申請すると応じられた。解約手続きとして、業者が提示した書面にサインした。現在はメッセージアプリはブロックされており、契約書面も受け取っていないので、業者と連絡は不能である。１１０万円を返金して欲しい。,1.既に契約・申込した,2024年2月24日,4.電話勧誘販売,,1.無,101.即時払,,"1,101,980円",08.契約・解約,SNS　ｻｲﾄﾞﾋﾞｼﾞﾈｽｼﾖｳﾎｳ　ｸﾚ･ｻﾗｷﾖｳﾖｳｼﾖｳﾎｳ　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ｶｲﾔｸ@　ﾚﾝﾗｸﾌﾉｳ　ﾃﾞﾝｼｺｳｺｸ　ｻｷﾞ　ｱﾄﾊﾞﾗｲｹﾂｻｲ　ｼﾖﾒﾝﾌｺｳﾌ　ﾃﾞﾝﾜｶﾝﾕｳ,複数の消費者金融業者と借金契約し、サポート料金などと称して高額代金を支払わせる副業詐欺の手口を紹介した。振込先金融機関を探し出し、警察と金融機関に相談してはどうかと助言した。,,
2024年2月29日,38歳,2.女,201.奈良市,1.商品,電気ブランケット,１か月前にネットで電気ブランケットを注文。１か月使用したら電源が切れなくなり故障。業者に返金を求めたが応じられず不満。,１か月前にネットで、３９８０円の電気ブランケットを注文し、ＱＲコード決済で支払った。１か月使用したら、電源ボタンを押しても電源が切れなくなった。今はバッテリーを強制的に外しており、使うことはできない。業者に商品の操作動画を添付して、メールで返金を求めたが、応じられなかった。業者に架電したら一方的に切電され繋がらない。プラットフォーマーに返金申し立てをしたが、「今回は返金対象とならない。販売店と話し合うように」と回答が来た。返金して欲しい。,1.既に契約・申込した,202401,2.通信販売,,1.無,104.他の前払式,,"3,980円",02.品質・機能、役務品質　08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｿｳｷｺｼﾖｳ　ﾍﾝﾋﾟﾝ　ﾍﾝｷﾝ　ﾚﾝﾗｸﾌﾉｳ　ｺｰﾄﾞｹﾂｻｲ　ｾﾂｼﾖｸﾌﾘﾖｳ　ｸﾚｰﾑｼﾖﾘ,通販は原則として規約に従うことになると説明した。販売業者規約に「返品交換は商品到着後７日以内に連絡する必要がある」と記載があった。１か月後に商品の不具合が出ているため、返金対象とされなかった可能性があり、販売業者と連絡が取れない限り、返品交渉は難しいと伝えた。,,
2024年2月29日,81歳,2.女,201.奈良市,1.商品,不審なメール,利用していない携帯電話会社からスマホに「本日中に連絡しなければ法的措置を取る」というメールが頻繁に届く。今後の対処法は。,,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,06.表示・広告,ﾒｲﾜｸﾒｰﾙ　ｺﾞｳｲﾝ･ｷﾖｳﾊｸ@,詐欺メールの同種事例を情報提供し、無視するよう助言した。また、迷惑メールフィルターの設定方法について、携帯電話会社に問い合わせてみるよう伝えた。,,
2024年2月29日,,4.不明,,2.役務,アプリ,娘に届いたフィッシングメールが原因で、キャリア決済で不正使用された。プラットフォーマーに返金を求めたが対応してくれない。,１月利用分のクレジットカードの請求がいつもより高額だったので明細を確認すると、キャリア決済で身に覚えのないアプリストアの請求が総額７万５０００円あった。家族に聴き取り、プラットフォーマーにも問い合わせたところ、高校生の娘が偽の宅配不在通知ＳＭＳのリンク先でプラットフォームＩＤを入力したため、不正使用されたことが分かった。プラットフォーマーと携帯電話会社に返金を求めたが、どちらも対応してくれなかった。娘が利用したものではないので返金してほしい。キャリア決済の利用は停止済みで、これからスマホも初期化するつもりだ。,1.既に契約・申込した,2024年1月5日,2.通信販売,ソフトバンクまとめて支払い,2.販売信用,205.２か月内払い,,"75,000円",08.契約・解約,ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ｷﾔﾘｱｹﾂｻｲ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｼﾖｰﾄﾒﾂｾｰｼﾞ　ﾌｲﾂｼﾝｸﾞ　ﾒｲｷﾞﾎﾞｳﾖｳ　ﾌﾄｳｾｲｷﾕｳ@　ﾍﾝｷﾝ　ｸﾚｰﾑｼﾖﾘ,センターからプラットフォーマーに相談概要を伝え、調査してもらった結果、７万５０００円全額取り消された。相談者には、通話料金を通して返金されるため、明細を確認するよう伝え、相談終了とした。,"75,000円",01.回復額
2024年2月28日,51歳,2.女,201.奈良市,2.役務,賃貸アパート,２年半前、半年の契約で賃貸アパートを借りた。２年前、退去時に解約費用を請求されたが契約時に退去時費用は不要と聞いていた。,２年半前、半年の契約で賃貸アパートを借りた。２年前、退去時に解約費用を請求されたが、契約時に退去時費用は不要と聞いていたので、全く納得できない。契約時、たった半年間だけの契約だったのに、１か月分の賃料３９０００円、賃貸業者への手数料、安心保険料や鍵取り換え料、清掃料等、２１３２７０円も支払って入居した。賃貸業者からは、鍵取り換え料、清掃料は退去時の費用で、退去時の費用は発生しないと聞いていた。ところが、退去時に、「鍵取り換え、清掃料」とは別の手数料等、４１８００円を請求された。納得できず支払わなかったら、１年ほど前より、弁護士事務所から督促状が届くようになった。そして、先日、この弁護士事務所から、「このまま滞納が続くようであれば、裁判手続きに移行する」という書面が書留で届いた。賃貸業者に、契約時の話を確認しても、「担当者は辞めており、弁護士事務所に聞いてほしい」と言うばかりだ。当時の契約書も手元になく、納得できない。,1.既に契約・申込した,202108,0.店舗購入,,1.無,101.即時払,,"41,800円",07.販売方法　08.契約・解約　09.接客対応,ｷﾖｷﾞｾﾂﾒｲ　ｾﾂﾒｲﾌﾞｿｸ　ｶｲﾔｸ@　ｶｲﾔｸﾘﾖｳ　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ﾌﾄｳｾｲｷﾕｳ@　ｸﾚｰﾑｼﾖﾘ　ﾌﾝｼﾂ,相談者には、「弁護士事務所に契約書面の開示請求をして、契約時の話も伝えてみてはどうか」と助言した。その後、相談者から、「弁護士事務所からは、契約書面や契約時の話などは、一切対応できないとの返答が来た。このままでは、裁判手続きに入ると言われており、仕方ないので支払うことにした」との連絡があったので、相談業務終了とする。,,
2024年2月28日,,1.男,201.奈良市,2.役務,光回線、光テレビ,５か月前来訪した業者に「ネット料金が安くなる」と勧誘され、光回線を契約した。当初からＷｉ－Ｆｉが繋がりにくく困っている。,５か月程前、光回線サービスの代理店が自宅に来て、「今よりネット料金が安くなる」と乗り換えを勧められた。私はアメリカ出身で日本語が流暢ではなかったため、「先に夫に相談する」と言い帰ってもらった。ところが、私が不在時に業者が再訪して契約を迫り、夫は私の希望だと勘違いして契約書にサインしてしまった。２年以内に解約すれば違約金がかかる契約だったので、仕方なく利用することにした。ところが開通当初から、スマホやタブレットでネットサーフィンしたり動画を視聴していると、たびたび接続が切れた。何度も業者に相談し、３日前ルーターを交換しに来てもらったが、まだ改善されず困っている。昨日、夫が業者に苦情を伝え、折り返しの連絡をもらうことになっているが、対応してくれるか不安だ。夫は仕事が忙しくて日中時間が取れないため、私が代わりに相談に来た。,1.既に契約・申込した,202310,1.訪問販売,,1.無,101.即時払,,,02.品質・機能、役務品質　09.接客対応,ｶﾃｲﾎｳﾊﾝ　ｹｲｻﾞｲｾｲ　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ｶｲﾔｸﾘﾖｳ　ｾﾂｿﾞｸﾌﾘﾖｳ@　ｱﾌﾀｰｻｰﾋﾞｽ　ｺｳｶﾝ,業者のセンター専用番号に架電し、事実確認した。業者の記録によれば、「ルーター交換後の通信速度を調べたが、通信は安定している。宅内の電波環境の問題かもしれない。通訳サービスを利用して、相談者と電話で訪問の日程調整をしたい」とのことで、相談者に伝えた。後日業者より「相談者と連絡を取った。ただ、訪問の通訳サービスはないため、承諾を得て遠隔操作でルーターの設定変更をした。改善されるか様子を見てもらうことになった」と報告を受けた。その後相談者から連絡がなく、相談終了とした。,,
2024年2月28日,51歳,2.女,201.奈良市,1.商品,歯磨きジェル,３カ月前、ネットで歯が白くなる歯磨きジェルを５００円で注文したが、思いがけず３回定期コースだった。高額なので解約したい。,３カ月前、ネット広告をみて歯が白くなる歯磨きジェルを５００円で注文した。１回限りと思っていたが、初回商品が届いた翌日、同じ歯磨きジェル３本セットが１２１４４円で届いた。どうも定期購入になっているようだが、定期購入を契約した覚えはなく、初回料金の５００円と送料２４０円の計７４０円だけ、コンビニで後払いし、３本セットは着払いで業者に送り返した。さらに、電話が繋がらなかったので、メールで解約を業者に伝えた。しかし、業者には受け取り拒否され、宅配業者に無理を言って預かってもらっている。そのうえ、今日、３回目分が送られてきた。前回同様、電話が繋がらず、メールで解約を求めたが、業者からは、「規約では、３回受取らなければ解約できない」と返信された。頼んでもいない、２回目以降を解約してほしい。,1.既に契約・申込した,202312,2.通信販売,ＮＰ後払い,2.販売信用,205.２か月内払い,,"24,288円",03.法規・基準　06.表示・広告　08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾃﾞﾝｼｺｳｺｸ　ﾃｲｷｺｳﾆﾕｳ　ｶｲﾔｸ@　ｺｳｶｶｸ･ﾘﾖｳｷﾝ　ｱﾄﾊﾞﾗｲｹﾂｻｲ　ｷﾔｸ･ﾔﾂｶﾝ,センターから業者に連絡し、相談者の状況を伝え、広告では３回の定期購入とはわからなかったと伝えたところ、２回目からの解約を認めた。商品はすべて破棄していいとのことで、相談者も納得したので、相談業務終了とする。,"24,288円",01.回復額
2024年2月28日,59歳,2.女,201.奈良市,3.他の相談,ネットでの個人間の詐欺,２年前、投資情報のＳＮＳで知った人に「話し相手になれば３０００万円渡す」という人を紹介され、手数料２００万円詐取された。,２年前、投資情報を得るためのＳＮＳで知り合った人に、「話し相手になってくれれば３０００万円渡したいという人がいる」と言われた。その知人から紹介された仲介人と称する人とやりとりすることになった。この仲介人に紹介された人と、何度かＳＮＳを通じて話を聞いたり、相談を受けたりして、３０００万円渡したいと言われるようになった。すると、仲介人に、「あなたに渡すための３０００万円を管理するため、手数料がかかる」と言われ、請求されるまま、この２年間で約２００万円をコンビニの電子マネーで渡してきた。そして、いまだに３０００万円は支払われていない。最近、仲介人とも話し相手になった人とも、全く連絡が取れなくなった。詐欺にあったと思うので、２００万円返金してほしい。,1.既に契約・申込した,2022,9.不明・無関係,,4.不明・無関係,,,"2,000,000円",,ｻｷﾞ　SNS　ｺｼﾞﾝｶﾝﾄﾘﾋｷ　ﾔｸｿｸﾌﾘｺｳ　ｷﾖｷﾞｾﾂﾒｲ,同種事例を説明し、個人間の取引と考えられるので、弁護士相談を紹介した。,,
2024年2月28日,,3.団体等,201.奈良市,2.役務,地図サイト,地図サイトに会社の代表番号ではない電話番号が掲載され迷惑だ。アカウントがないため運営会社に訂正依頼ができず困っている。,事業者だ。大手プラットフォーマーが運営する地図サイトに、会社の１部署の電話番号が代表番号のように掲載されている。ネットで連絡先を調べた人から問い合わせがあるたび、該当部署へ転送しなければならず、業務に支障をきたしている。電話番号を削除するか、最も問い合わせの多い部署の番号を掲載してほしいが、アカウントがなければ運営会社に訂正依頼ができず困っている。勝手に掲載された情報なので、アカウントを作成せず訂正したい。,3.不明・無関係,,9.不明・無関係,,4.不明・無関係,,,,06.表示・広告　09.接客対応,ﾋﾖｳｼﾞ@　ｸﾚｰﾑｼﾖﾘ　ﾚﾝﾗｸﾌﾉｳ,センターは、消費者のための相談窓口であることを説明した。その上で、自分が掲載した情報でなくても、当該業者に問い合わせるためにはアカウントを作成する必要があることを伝え、電話番号を情報提供した。,,
2024年2月28日,50歳,2.女,201.奈良市,2.役務,国際電話,携帯電話に＋から始まる国際電話番号からの着信があり、うっかりかけ直した。すぐ切電したが、高額な料金がかからないか心配だ。,先程、携帯電話に＋から始まる国際電話番号からの着信があった。不審なので出なかったが、うっかり指が触れてリダイヤルしてしまった。すぐキャンセルボタンをタップしたものの、高額な通話料金がかからないか心配だ。,1.既に契約・申込した,,9.不明・無関係,,4.不明・無関係,,,,08.契約・解約,ｶﾞｲｺｸ@,国際電話番号を利用した詐欺電話の手口を情報提供した。料金については、携帯電話会社に問い合わせるよう伝えた。,,
2024年2月28日,,4.不明,,1.商品,クレジットカードの不正使用,私のクレジットカードが、この４か月間で何度も不正使用され、そのたびにカード番号を変えたり、調査してもらっているが不審だ。,,1.既に契約・申込した,,9.不明・無関係,,2.販売信用,205.２か月内払い,,,07.販売方法,ﾌｲﾂｼﾝｸﾞ　ｸﾚｼﾞﾂﾄｶｰﾄﾞ,クレジットカード会社の調査結果を待つしかないことを伝えた。,,
2024年2月28日,69歳,1.男,201.奈良市,1.商品,ＤＶＤ,ネット通販で返金保証付きのＤＶＤを購入したが、内容が乏しく返金を希望したら、１年後にしか返金できないと言われ不納得。,ネット通販で、返金保証付きのＤＶＤを購入した。内容があまりにも乏しく、業者に返金を希望する電話をしたら、「１年後にしか返金できない」と言われ、納得できない。景品表示法に違反しているのではないか。,1.既に契約・申込した,2024年2月10日,2.通信販売,,2.販売信用,205.２か月内払い,,"24,600円",03.法規・基準　06.表示・広告　07.販売方法,ｼﾄﾞｳﾅｲﾖｳﾌﾏﾝ　ｵﾄﾘｺｳｺｸ　ﾃﾞﾝｼｺｳｺｸ　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ﾍﾝｷﾝ　ﾎｳﾚｲ@,センターで、業者の広告や特商法による記載を確認したところ、「１年間使用して効能、効果が感じられなければ返金する」という記載だった。その旨、相談者に伝え、１年後に返金依頼するよう伝えた。,,
2024年2月27日,71歳,2.女,201.奈良市,1.商品,シャンプー,８カ月前に頭皮を手術し、術後、同じシャンプーを使っていたが、手術箇所がうんでしまった。良いシャンプーを教えてほしい。,８カ月前に頭皮を手術した。術後、同じシャンプーを使用していたが、最近になって手術箇所がうんでしまい、医者から抗生物質をもらっている。頭皮に良いシャンプーを教えてほしい。,1.既に契約・申込した,,9.不明・無関係,,4.不明・無関係,,,,13.生活知識,,センターでは医療知識を持ち合わせていないことを伝えた。相談者は２週間後に通院予定であったので、その際にシャンプーを持参し、主治医に相談するよう助言し、相談を終了した。,,
2024年2月27日,70歳,2.女,201.奈良市,2.役務,建物火災保険,火災保険を契約更新した。新しい証券証書に退任した社長名が記載されていたが、新社長になっても補償されるだろうか。心配だ。,自宅の建物火災保険を契約更新した。５年間契約だが、証券証書には退任した社長に名前が記載されていた。同封された保険会社からのお知らせには、「事務を円滑に進めるため、退任した社長名のままの証券を発送している。契約内容は有効であるが、希望者には６月頃に新たな証券証書を送る」などと書かれていた。本当に新社長になっても補償されるだろうか。心配だ。,1.既に契約・申込した,2024年2月25日,0.店舗購入,,1.無,,,"277,000円",08.契約・解約,ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@　ｼﾖﾒﾝﾌﾋﾞ　ﾎｼﾖｳ,火災保険の契約内容は約款で決まっており、社長の交代は契約内容に影響しないことを説明した。,,
2024年2月27日,60歳,2.女,201.奈良市,1.商品,管楽器のリード,８年ほど前からオーボエのリードを注文している業者と連絡が取れなくなった。注文済みの商品が届かないので、返金してほしい。,８年ほど前からオーボエのリードをネットで注文している業者に、昨年９月に注文をしたところ、商品が送られてこなくなった。業者にメールで連絡しているが、「入荷が遅れている」との返事で、見通しが立たない状態だという。最近、改めて確認のメールを入れたが、今度は返信されない状態になった。商品代１８，４５０円はクレジットカードで支払っており、既に引落しされているので、カード会社に相談しようと思っている。注文をキャンセルし、返金してほしい。,1.既に契約・申込した,2023年9月30日,2.通信販売,,2.販売信用,205.２か月内払い,,"18,450円",08.契約・解約,ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｼﾖｳﾋﾝﾐﾁﾔｸ　ﾚﾝﾗｸﾌﾉｳ　ｶｲﾔｸ@　ﾍﾝｷﾝ,相談者は業者とメールだけで連絡していたので、業者の電話番号を伝え、「業者に電話し、その上で、必要ならばクレジットカード会社に返金を相談してはどうか」と伝えた。相談者は電話をしたが、ずっと話中状態で連絡が取れなかった。相談者はクレジットカード会社に返金の相談をし、クレジットカード会社で対応することとなった。もし、引き続き問題があれば、連絡するよう伝え、相談を終了した。,,
2024年2月27日,81歳,1.男,201.奈良市,1.商品,投込みチラシ,自宅のポストに「チラシ投函お断り」と貼紙を掲示しても、不動産や買取業者の投込みチラシが頻繁に投函され迷惑だ。対処法は。,数年前から、自宅のポストに「チラシ投函お断り」という貼紙をしても、不動産業者や買取業者などの投げ込みチラシが頻繁に入り迷惑だ。今後投函しないでほしいが、業者に個人情報を伝えるのも抵抗がある。何かよい方法はあるか。,2.まだ契約・申込していない,,9.不明・無関係,,4.不明・無関係,,,,06.表示・広告,ﾅｹﾞｺﾐｺｳｺｸ　ｺｼﾞﾝｼﾞﾖｳﾎｳ,セールスやＤＭであれば、訪問販売お断りステッカーの貼付や受取拒否が有効だが、不要な投げ込みチラシはその都度廃棄するしかないと伝えた。,,
2024年2月27日,83歳,1.男,201.奈良市,1.商品,サプリメント,ネット広告をみて１４８０円の膝用湿布薬を注文したらサプリメントの定期購入だった。解約したが、今後も請求が続かないか心配。,先月、パソコンのネット広告で膝用湿布薬を勧めていた。膝の痛みに悩んでいたので、初回１４８０円の湿布薬を注文しカード決済した。しばらくして、湿布薬ではなくひざの痛みを取る効果があるというサプリメントが届いた。商品に同封されたパンフレットには、定期購入１年間分は５１１８０円などと書かれていた。すぐに業者のコールセンターへ電話をし「ネット広告をみて膝用湿布薬と勘違いした。サプリメントを注文した覚えはないので解約してほしい」と伝えたが、「すでに２回目の発送準備をしている。２回目まで購入してほしい」と言われた。２回目以降は３９８０円だった。ネット広告を残しておらず、仕方なく３回目から解約することにしたが、電話では解約した証拠が残らない。３回目以降も代金を請求されないか心配だ。,1.既に契約・申込した,2023年1月31日,2.通信販売,南都ＤＣカード,2.販売信用,205.２か月内払い,,"3,980円",06.表示・広告　08.契約・解約,ﾃﾞﾝｼｺｳｺｸ　ｺﾞｶｲ･ｶﾝﾁｶﾞｲ　ﾃｲｷｺｳﾆﾕｳ　ｶｲﾔｸ@　ｲﾝﾀｰﾈﾂﾄﾂｳﾊﾝ　ｹｲﾔｸｼﾖ･ｼﾖﾒﾝ@,業者アドレスに相談者から契約解除を確認するメールを送ってはどうかと勧めた。また、カード利用明細書を毎月確認し不当請求があれば、すぐに相談するようにと伝えた。,,
2024年2月27日,26歳,2.女,201.奈良市,1.商品,グリル用の炭,卓上型グリルに使用する炭をアウトドアメーカー直営店で購入したが、ぴったり収まらなかった。メーカーに対応してもらえず不満。,１か月程前、結婚祝いにアウトドアメーカーの卓上ミニグリルをもらったので、６個入りで別売りされている炭をショッピングモール内のメーカー直営店で購入した。代金１３２０円は、現金で支払った。丸形の炭２個がグリルの火床にぴったり収まるはずが、どれも大きく、１時間かけて削ってようやく収まった。販売店とメーカーに苦情を伝えると、「グリルと炭のどちらの問題かは分からないが、炭に凹凸ができているのかもしれない。削って使用できるのであれば、返品や交換は難しい」と言われた。メーカー純正品なのにサイズが合わず、納得できない。,1.既に契約・申込した,202401,0.店舗購入,,1.無,101.即時払,,"1,320円",02.品質・機能、役務品質　09.接客対応,ｻｲｽﾞ　ﾍﾝﾋﾟﾝ　ｺｳｶﾝ　ｸﾚｰﾑｼﾖﾘ,センターからメーカーに事実確認したところ、「対応を検討中」とのことだった。後日メーカーより、「相談者にグリルと炭を両方送ってもらい確認したら、グリルの溶接の角度不良が原因で、炭が収まらないことが分かった。グリルの火床のパーツの交換と、使用中の炭２個を新品に交換することで対応する。相談者にも連絡済みだ」との報告を受け、相談終了とした。,,
